pH,Digestates,Feedstock,DM,OM,TOC,TOC_TN,TN,NH4_N,NH4_TN
7.8,4,1,98.4,828,460,8.9,51.7,16.7,32.3
7.8,4,2,98,419,232.8,4.5,51.3,38.8,75.6
7.8,4,2,98,406,225.5,4,56,39.4,70.4
7.8,4,2,98,406,225.5,3.9,57.6,37.1,64.4
8.1,4,1,98,816,453.3,10,45.3,21.4,47.2
7.5,5,3,98,562,312.2,6.6,47.1,21.3,45.2
8.2,4,1,98,797,442.7,9.8,45,19.2,42.7
8,4,1,98,829,460.5,9.2,50.2,20.7,41.2
8,4,1,97.6,827,459.4,8.1,56.6,26.7,47.2
7.8,4,2,97,387,215,3.7,58.2,34.6,59.5
7.8,4,2,97,391,217.2,3.6,59.6,34.8,58.4
8.2,4,1,97,817,453.8,11.4,39.8,22.6,56.8
8.3,4,1,97,805,447.2,8.9,50.1,22.3,44.5
8.5,4,1,97,807,448.3,9.4,47.6,21.1,44.3
8.2,4,1,97,803,446.1,8.4,52.9,23.3,44
7.5,4,1,97,752,417.7,7.2,58.1,25.2,43.4
7.5,4,1,97,753,418.3,6.9,60.2,25.9,43
8.5,4,1,97,837,465,9.8,47.3,20,42.3
8.2,4,1,97,814,452.2,9.6,47.2,19.3,40.9
8.2,5,2,96.9,792,440,8.3,52.8,19.6,37.1
7.8,4,1,96.8,841,467.2,8.7,53.4,23.4,43.8
7.9,4,1,96.4,760,422.2,7.4,57.1,31.3,54.8
7.6,5,3,96,578,321.1,7.1,45.3,26,57.4
8.3,4,1,96,826,458.8,9.3,49.6,25.4,51.2
8.2,4,1,96,833,462.7,9.7,47.7,23.9,50.1
7.5,4,1,96,796,442.2,5.7,77.4,38,49.1
8.1,5,1,96,744,413.3,4.9,85,40.4,47.5
8.1,4,1,96,799,443.8,8.9,49.9,22.6,45.3
8.1,4,1,96,829,460.5,7.4,62.2,25,40.2
7.7,4,1,95.6,771,428.3,8.4,50.7,15.4,30.4
8.5,4,1,95,799,443.8,8.7,50.8,24.8,48.8
8.1,4,1,95,820,455.5,8.6,52.9,25.4,48
8.3,4,1,95,800,444.4,8.9,50,23.8,47.6
8.3,4,1,95,810,450,9.2,49.1,22.2,45.2
8.3,4,1,95,838,465.5,9.7,47.9,20.7,43.2
7.5,4,2,95,625,347.2,6,57.5,24.3,42.3
8.2,4,1,95,808,448.8,8.2,54.5,23,42.2
8.4,4,1,95,715.8,397.6,5.6,70.5,29.5,41.8
8.3,4,1,95,823,457.2,9.1,50.4,20.9,41.5
8.6,4,1,95,810,450,8.8,50.9,20.4,40.1
7.9,4,1,94.9,809,449.4,9.5,47.4,15.9,33.5
8.2,4,2,94.1,536.7,298.1,4.1,73.5,32.5,44.2
8.3,4,1,94,781,433.8,10.2,42.5,23.7,55.8
8,4,2,94,901,500.5,7.1,70.4,37.4,53.1
8.3,4,1,94,788,437.7,8.5,51.3,24.6,48
8.4,4,1,94,818,454.4,8.9,51,24.3,47.6
8.4,4,1,94,790,438.8,10,44.1,20.9,47.4
8.5,4,1,94,805,447.2,9,49.9,22.9,45.9
8.1,4,1,94,829,460.5,7.5,61.1,27.6,45.2
8.4,4,1,94,758.5,421.3,7,60.6,22.3,36.8
8.2,4,1,94,814,452.2,8.2,55.1,18.1,32.8
7.7,4,1,94,746,414.4,10.1,41.1,13.5,32.8
8.1,4,1,94,762.8,423.7,9.7,43.6,12.8,29.4
8.4,4,1,94,783,435,9.1,47.8,13.8,28.9
7.6,4,1,93.8,819,455,5.8,78.9,24.5,31.1
7.5,4,1,93,734,407.7,8.9,45.9,26.2,57.1
8.1,4,1,93,803,446.1,9.4,47.4,25.8,54.4
8.3,4,1,93,728,404.4,5,80.9,41.9,51.8
8.3,4,1,93,819,455,8.9,50.9,25,49.1
7.8,4,2,93,679,377.2,5.1,74.1,36.2,48.9
7.9,4,1,93,817,453.8,9.1,50,24.3,48.6
8.3,4,1,93,766,425.5,8.1,52.3,25,47.8
8.3,4,1,93,815,452.7,10,45.3,21.4,47.2
8.1,4,1,93,808,448.8,8.9,50.7,22,43.4
8,4,1,93,790,438.8,8.1,54.5,21.2,38.9
7.8,4,1,92.6,821,456.1,11.3,40.5,19.6,48.4
7.9,4,1,92.5,794,441.1,9,49.2,20.2,41.1
7.8,4,1,92.2,820,455.5,8.4,54.5,20.4,37.4
7.8,4,1,92.1,794,441.1,8.7,50.9,21.3,41.8
8.3,4,1,92,796,442.2,8.5,52.1,29.2,56
8.3,4,1,92,791,439.4,9,48.7,24.2,49.7
8,4,1,92,798,443.3,8.7,51,24.6,48.2
8.5,4,2,92,900,500,7,71.4,33.3,46.6
8.4,4,1,92,804,446.6,8.9,50.4,22.6,44.8
8.3,4,1,92,813,451.6,8.8,51.1,22.5,44
8.5,4,1,92,776,431.1,7.3,58.9,25.9,44
8.4,4,1,92,810,450,7.1,63.7,27.6,43.3
8.1,4,1,92,806,447.7,8.9,50.4,21,41.7
8.3,4,1,92,807,448.3,8.6,52.4,21.2,40.5
